county,office,party,candidate,votes
Garza,Lieutenant Governor,REP,Dan Patrick,1013
Garza,Lieutenant Governor,LIB,,25
Gillespie,Lieutenant Governor,DEM,Mike Collier,2521
Gillespie,Lieutenant Governor,REP,Dan Patrick,10521
Gillespie,Lieutenant Governor,LIB,,322
Glasscock,Lieutenant Governor,DEM,Mike Collier,29
Glasscock,Lieutenant Governor,REP,Dan Patrick,527
Glasscock,Lieutenant Governor,LIB,,6
Goliad,Lieutenant Governor,DEM,Mike Collier,684
Goliad,Lieutenant Governor,REP,Dan Patrick,2525
Goliad,Lieutenant Governor,LIB,,57
Gonzales,Lieutenant Governor,DEM,Mike Collier,1076
Gonzales,Lieutenant Governor,REP,Dan Patrick,4299
Gonzales,Lieutenant Governor,LIB,,125
Gray,Lieutenant Governor,DEM,Mike Collier,508
Gray,Lieutenant Governor,REP,Dan Patrick,4901
Gray,Lieutenant Governor,LIB,,121
Grayson,Lieutenant Governor,DEM,Mike Collier,9592
Grayson,Lieutenant Governor,REP,Dan Patrick,34180
Grayson,Lieutenant Governor,LIB,,1028
Gregg,Lieutenant Governor,DEM,Mike Collier,8688
Gregg,Lieutenant Governor,REP,Dan Patrick,23682
Gregg,Lieutenant Governor,LIB,,712
Grimes,Lieutenant Governor,DEM,Mike Collier,1810
Grimes,Lieutenant Governor,REP,Dan Patrick,7413
Grimes,Lieutenant Governor,LIB,,184
Guadalupe,Lieutenant Governor,DEM,Mike Collier,18641
Guadalupe,Lieutenant Governor,REP,Dan Patrick,36223
Guadalupe,Lieutenant Governor,LIB,,1937
Hale,Lieutenant Governor,DEM,Mike Collier,1183
Hale,Lieutenant Governor,REP,Dan Patrick,4941
Hale,Lieutenant Governor,LIB,,157
Hall,Lieutenant Governor,DEM,Mike Collier,113
Hall,Lieutenant Governor,REP,Dan Patrick,747
Hall,Lieutenant Governor,LIB,,6
Hamilton,Lieutenant Governor,DEM,Mike Collier,481
Hamilton,Lieutenant Governor,REP,Dan Patrick,2908
Hamilton,Lieutenant Governor,LIB,,64
Hansford,Lieutenant Governor,DEM,Mike Collier,108
Hansford,Lieutenant Governor,REP,Dan Patrick,1353
Hansford,Lieutenant Governor,LIB,,33
Hardeman,Lieutenant Governor,DEM,Mike Collier,117
Hardeman,Lieutenant Governor,REP,Dan Patrick,839
Hardeman,Lieutenant Governor,LIB,,15
Hardin,Lieutenant Governor,DEM,Mike Collier,2084
Hardin,Lieutenant Governor,REP,Dan Patrick,17194
Hardin,Lieutenant Governor,LIB,,277
Harris,Lieutenant Governor,DEM,Mike Collier,586140
Harris,Lieutenant Governor,REP,Dan Patrick,481768
Harris,Lieutenant Governor,LIB,,28916
Harrison,Lieutenant Governor,DEM,Mike Collier,4721
Harrison,Lieutenant Governor,REP,Dan Patrick,16189
Harrison,Lieutenant Governor,LIB,,383
Hartley,Lieutenant Governor,DEM,Mike Collier,110
Hartley,Lieutenant Governor,REP,Dan Patrick,1430
Hartley,Lieutenant Governor,LIB,,22
Haskell,Lieutenant Governor,DEM,Mike Collier,235
Haskell,Lieutenant Governor,REP,Dan Patrick,1399
Haskell,Lieutenant Governor,LIB,,27
Hays,Lieutenant Governor,DEM,Mike Collier,47952
Hays,Lieutenant Governor,REP,Dan Patrick,37848
Hays,Lieutenant Governor,LIB,,3371
Hemphill,Lieutenant Governor,DEM,Mike Collier,192
Hemphill,Lieutenant Governor,REP,Dan Patrick,1097
Hemphill,Lieutenant Governor,LIB,,42
Henderson,Lieutenant Governor,DEM,Mike Collier,5009
Henderson,Lieutenant Governor,REP,Dan Patrick,22325
Henderson,Lieutenant Governor,LIB,,500
Hidalgo,Lieutenant Governor,DEM,Mike Collier,76605
Hidalgo,Lieutenant Governor,REP,Dan Patrick,55977
Hidalgo,Lieutenant Governor,LIB,,4012
Hill,Lieutenant Governor,DEM,Mike Collier,1963
Hill,Lieutenant Governor,REP,Dan Patrick,9178
Hill,Lieutenant Governor,LIB,,214
Hockley,Lieutenant Governor,DEM,Mike Collier,840
Hockley,Lieutenant Governor,REP,Dan Patrick,4574
Hockley,Lieutenant Governor,LIB,,99
Hood,Lieutenant Governor,DEM,Mike Collier,4671
Hood,Lieutenant Governor,REP,Dan Patrick,21790
Hood,Lieutenant Governor,LIB,,605
Hopkins,Lieutenant Governor,DEM,Mike Collier,2139
Hopkins,Lieutenant Governor,REP,Dan Patrick,9958
Hopkins,Lieutenant Governor,LIB,,212
Houston,Lieutenant Governor,DEM,Mike Collier,1431
Houston,Lieutenant Governor,REP,Dan Patrick,5615
Houston,Lieutenant Governor,LIB,,101
Howard,Lieutenant Governor,DEM,Mike Collier,1104
Howard,Lieutenant Governor,REP,Dan Patrick,5223
Howard,Lieutenant Governor,LIB,,160
Hudspeth,Lieutenant Governor,DEM,Mike Collier,251
Hudspeth,Lieutenant Governor,REP,Dan Patrick,556
Hudspeth,Lieutenant Governor,LIB,,28
Hunt,Lieutenant Governor,DEM,Mike Collier,6576
Hunt,Lieutenant Governor,REP,Dan Patrick,23138
Hunt,Lieutenant Governor,LIB,,682
Hutchinson,Lieutenant Governor,DEM,Mike Collier,579
Hutchinson,Lieutenant Governor,REP,Dan Patrick,5332
Hutchinson,Lieutenant Governor,LIB,,136
Irion,Lieutenant Governor,DEM,Mike Collier,80
Irion,Lieutenant Governor,REP,Dan Patrick,602
Irion,Lieutenant Governor,LIB,,16
Jack,Lieutenant Governor,DEM,Mike Collier,273
Jack,Lieutenant Governor,REP,Dan Patrick,2666
Jack,Lieutenant Governor,LIB,,39
Jackson,Lieutenant Governor,DEM,Mike Collier,590
Jackson,Lieutenant Governor,REP,Dan Patrick,3933
Jackson,Lieutenant Governor,LIB,,65
Jasper,Lieutenant Governor,DEM,Mike Collier,1638
Jasper,Lieutenant Governor,REP,Dan Patrick,9535
Jasper,Lieutenant Governor,LIB,,141
Jeff Davis,Lieutenant Governor,DEM,Mike Collier,397
Jeff Davis,Lieutenant Governor,REP,Dan Patrick,594
Jeff Davis,Lieutenant Governor,LIB,,44
Jefferson,Lieutenant Governor,DEM,Mike Collier,26509
Jefferson,Lieutenant Governor,REP,Dan Patrick,34062
Jefferson,Lieutenant Governor,LIB,,1177
Jim Hogg,Lieutenant Governor,DEM,Mike Collier,801
Jim Hogg,Lieutenant Governor,REP,Dan Patrick,504
Jim Hogg,Lieutenant Governor,LIB,,38
Jim Wells,Lieutenant Governor,DEM,Mike Collier,4367
Jim Wells,Lieutenant Governor,REP,Dan Patrick,4720
Jim Wells,Lieutenant Governor,LIB,,170
Johnson,Lieutenant Governor,DEM,Mike Collier,12650
Johnson,Lieutenant Governor,REP,Dan Patrick,41700
Johnson,Lieutenant Governor,LIB,,1323
Jones,Lieutenant Governor,DEM,Mike Collier,647
Jones,Lieutenant Governor,REP,Dan Patrick,4215
Jones,Lieutenant Governor,LIB,,104
Karnes,Lieutenant Governor,DEM,Mike Collier,757
Karnes,Lieutenant Governor,REP,Dan Patrick,2925
Karnes,Lieutenant Governor,LIB,,68
Kaufman,Lieutenant Governor,DEM,Mike Collier,13910
Kaufman,Lieutenant Governor,REP,Dan Patrick,27469
Kaufman,Lieutenant Governor,LIB,,1105
Kendall,Lieutenant Governor,DEM,Mike Collier,4474
Kendall,Lieutenant Governor,REP,Dan Patrick,17355
Kendall,Lieutenant Governor,LIB,,562
Kenedy,Lieutenant Governor,DEM,Mike Collier,32
Kenedy,Lieutenant Governor,REP,Dan Patrick,97
Kenedy,Lieutenant Governor,LIB,,5
Kent,Lieutenant Governor,DEM,Mike Collier,40
Kent,Lieutenant Governor,REP,Dan Patrick,297
Kent,Lieutenant Governor,LIB,,10
Kerr,Lieutenant Governor,DEM,Mike Collier,4649
Kerr,Lieutenant Governor,REP,Dan Patrick,17267
Kerr,Lieutenant Governor,LIB,,540
Kimble,Lieutenant Governor,DEM,Mike Collier,200
Kimble,Lieutenant Governor,REP,Dan Patrick,1612
Kimble,Lieutenant Governor,LIB,,42
King,Lieutenant Governor,DEM,Mike Collier,3
King,Lieutenant Governor,REP,Dan Patrick,99
King,Lieutenant Governor,LIB,,1
Kinney,Lieutenant Governor,DEM,Mike Collier,256
Kinney,Lieutenant Governor,REP,Dan Patrick,869
Kinney,Lieutenant Governor,LIB,,26
Kleberg,Lieutenant Governor,DEM,Mike Collier,3373
Kleberg,Lieutenant Governor,REP,Dan Patrick,3990
Kleberg,Lieutenant Governor,LIB,,167
Knox,Lieutenant Governor,DEM,Mike Collier,163
Knox,Lieutenant Governor,REP,Dan Patrick,861
Knox,Lieutenant Governor,LIB,,11
La Salle,Lieutenant Governor,DEM,Mike Collier,609
La Salle,Lieutenant Governor,REP,Dan Patrick,703
La Salle,Lieutenant Governor,LIB,,26
Lamar,Lieutenant Governor,DEM,Mike Collier,2786
Lamar,Lieutenant Governor,REP,Dan Patrick,12259
Lamar,Lieutenant Governor,LIB,,240
Lamb,Lieutenant Governor,DEM,Mike Collier,451
Lamb,Lieutenant Governor,REP,Dan Patrick,2556
Lamb,Lieutenant Governor,LIB,,59
Lampasas,Lieutenant Governor,DEM,Mike Collier,1503
Lampasas,Lieutenant Governor,REP,Dan Patrick,6475
Lampasas,Lieutenant Governor,LIB,,221
Lavaca,Lieutenant Governor,DEM,Mike Collier,825
Lavaca,Lieutenant Governor,REP,Dan Patrick,7225
Lavaca,Lieutenant Governor,LIB,,104
Lee,Lieutenant Governor,DEM,Mike Collier,1134
Lee,Lieutenant Governor,REP,Dan Patrick,4975
Lee,Lieutenant Governor,LIB,,123
Leon,Lieutenant Governor,DEM,Mike Collier,723
Leon,Lieutenant Governor,REP,Dan Patrick,6010
Leon,Lieutenant Governor,LIB,,101
Liberty,Lieutenant Governor,DEM,Mike Collier,3539
Liberty,Lieutenant Governor,REP,Dan Patrick,15820
Liberty,Lieutenant Governor,LIB,,393
Limestone,Lieutenant Governor,DEM,Mike Collier,1375
Limestone,Lieutenant Governor,REP,Dan Patrick,5289
Limestone,Lieutenant Governor,LIB,,138
Lipscomb,Lieutenant Governor,DEM,Mike Collier,101
Lipscomb,Lieutenant Governor,REP,Dan Patrick,854
Lipscomb,Lieutenant Governor,LIB,,23
Live Oak,Lieutenant Governor,DEM,Mike Collier,558
Live Oak,Lieutenant Governor,REP,Dan Patrick,3370
Live Oak,Lieutenant Governor,LIB,,41
Llano,Lieutenant Governor,DEM,Mike Collier,2016
Llano,Lieutenant Governor,REP,Dan Patrick,8698
Llano,Lieutenant Governor,LIB,,264
Loving,Lieutenant Governor,DEM,Mike Collier,8
Loving,Lieutenant Governor,REP,Dan Patrick,62
Loving,Lieutenant Governor,LIB,,4
Lubbock,Lieutenant Governor,DEM,Mike Collier,24153
Lubbock,Lieutenant Governor,REP,Dan Patrick,56546
Lubbock,Lieutenant Governor,LIB,,2600
Lynn,Lieutenant Governor,DEM,Mike Collier,226
Lynn,Lieutenant Governor,REP,Dan Patrick,1453
Lynn,Lieutenant Governor,LIB,,36
Madison,Lieutenant Governor,DEM,Mike Collier,633
Madison,Lieutenant Governor,REP,Dan Patrick,3186
Madison,Lieutenant Governor,LIB,,70
Marion,Lieutenant Governor,DEM,Mike Collier,718
Marion,Lieutenant Governor,REP,Dan Patrick,2502
Marion,Lieutenant Governor,LIB,,56
Martin,Lieutenant Governor,DEM,Mike Collier,167
Martin,Lieutenant Governor,REP,Dan Patrick,1297
Martin,Lieutenant Governor,LIB,,28
Mason,Lieutenant Governor,DEM,Mike Collier,362
Mason,Lieutenant Governor,REP,Dan Patrick,1642
Mason,Lieutenant Governor,LIB,,42
Matagorda,Lieutenant Governor,DEM,Mike Collier,2286
Matagorda,Lieutenant Governor,REP,Dan Patrick,7180
Matagorda,Lieutenant Governor,LIB,,202
Maverick,Lieutenant Governor,DEM,Mike Collier,4876
Maverick,Lieutenant Governor,REP,Dan Patrick,3527
Maverick,Lieutenant Governor,LIB,,325
McCulloch,Lieutenant Governor,DEM,Mike Collier,311
McCulloch,Lieutenant Governor,REP,Dan Patrick,2181
McCulloch,Lieutenant Governor,LIB,,56
McLennan,Lieutenant Governor,DEM,Mike Collier,23693
McLennan,Lieutenant Governor,REP,Dan Patrick,46666
McLennan,Lieutenant Governor,LIB,,1830
McMullen,Lieutenant Governor,DEM,Mike Collier,37
McMullen,Lieutenant Governor,REP,Dan Patrick,330
McMullen,Lieutenant Governor,LIB,,4
Medina,Lieutenant Governor,DEM,Mike Collier,4470
Medina,Lieutenant Governor,REP,Dan Patrick,12416
Medina,Lieutenant Governor,LIB,,393
Menard,Lieutenant Governor,DEM,Mike Collier,126
Menard,Lieutenant Governor,REP,Dan Patrick,625
Menard,Lieutenant Governor,LIB,,14
Midland,Lieutenant Governor,DEM,Mike Collier,7012
Midland,Lieutenant Governor,REP,Dan Patrick,31498
Midland,Lieutenant Governor,LIB,,1072
Milam,Lieutenant Governor,DEM,Mike Collier,1617
Milam,Lieutenant Governor,REP,Dan Patrick,6509
Milam,Lieutenant Governor,LIB,,193
Mills,Lieutenant Governor,DEM,Mike Collier,220
Mills,Lieutenant Governor,REP,Dan Patrick,1860
Mills,Lieutenant Governor,LIB,,37
Mitchell,Lieutenant Governor,DEM,Mike Collier,193
Mitchell,Lieutenant Governor,REP,Dan Patrick,1525
Mitchell,Lieutenant Governor,LIB,,39
Montague,Lieutenant Governor,DEM,Mike Collier,831
Montague,Lieutenant Governor,REP,Dan Patrick,6825
Montague,Lieutenant Governor,LIB,,134
Montgomery,Lieutenant Governor,DEM,Mike Collier,52581
Montgomery,Lieutenant Governor,REP,Dan Patrick,150172
Montgomery,Lieutenant Governor,LIB,,4628
Moore,Lieutenant Governor,DEM,Mike Collier,509
Moore,Lieutenant Governor,REP,Dan Patrick,2975
Moore,Lieutenant Governor,LIB,,84
Morris,Lieutenant Governor,DEM,Mike Collier,965
Morris,Lieutenant Governor,REP,Dan Patrick,2966
Morris,Lieutenant Governor,LIB,,40
Motley,Lieutenant Governor,DEM,Mike Collier,23
Motley,Lieutenant Governor,REP,Dan Patrick,470
Motley,Lieutenant Governor,LIB,,7
Nacogdoches,Lieutenant Governor,DEM,Mike Collier,5454
Nacogdoches,Lieutenant Governor,REP,Dan Patrick,13008
Nacogdoches,Lieutenant Governor,LIB,,424
Navarro,Lieutenant Governor,DEM,Mike Collier,3285
Navarro,Lieutenant Governor,REP,Dan Patrick,10496
Navarro,Lieutenant Governor,LIB,,317
Newton,Lieutenant Governor,DEM,Mike Collier,698
Newton,Lieutenant Governor,REP,Dan Patrick,3591
Newton,Lieutenant Governor,LIB,,57
Nolan,Lieutenant Governor,DEM,Mike Collier,660
Nolan,Lieutenant Governor,REP,Dan Patrick,3024
Nolan,Lieutenant Governor,LIB,,90
Nueces,Lieutenant Governor,DEM,Mike Collier,39336
Nueces,Lieutenant Governor,REP,Dan Patrick,46509
Nueces,Lieutenant Governor,LIB,,2638
Ochiltree,Lieutenant Governor,DEM,Mike Collier,165
Ochiltree,Lieutenant Governor,REP,Dan Patrick,1922
Ochiltree,Lieutenant Governor,LIB,,29
Oldham,Lieutenant Governor,DEM,Mike Collier,70
Oldham,Lieutenant Governor,REP,Dan Patrick,685
Oldham,Lieutenant Governor,LIB,,14
Orange,Lieutenant Governor,DEM,Mike Collier,3745
Orange,Lieutenant Governor,REP,Dan Patrick,20873
Orange,Lieutenant Governor,LIB,,383
Palo Pinto,Lieutenant Governor,DEM,Mike Collier,1594
Palo Pinto,Lieutenant Governor,REP,Dan Patrick,7666
Palo Pinto,Lieutenant Governor,LIB,,190
Panola,Lieutenant Governor,DEM,Mike Collier,1258
Panola,Lieutenant Governor,REP,Dan Patrick,6915
Panola,Lieutenant Governor,LIB,,84
Parker,Lieutenant Governor,DEM,Mike Collier,10611
Parker,Lieutenant Governor,REP,Dan Patrick,51037
Parker,Lieutenant Governor,LIB,,1603
Parmer,Lieutenant Governor,DEM,Mike Collier,227
Parmer,Lieutenant Governor,REP,Dan Patrick,1502
Parmer,Lieutenant Governor,LIB,,33
Pecos,Lieutenant Governor,DEM,Mike Collier,1009
Pecos,Lieutenant Governor,REP,Dan Patrick,2380
Pecos,Lieutenant Governor,LIB,,135
Polk,Lieutenant Governor,DEM,Mike Collier,3333
Polk,Lieutenant Governor,REP,Dan Patrick,13085
Polk,Lieutenant Governor,LIB,,308
Potter,Lieutenant Governor,DEM,Mike Collier,5360
Potter,Lieutenant Governor,REP,Dan Patrick,15657
Potter,Lieutenant Governor,LIB,,701
Presidio,Lieutenant Governor,DEM,Mike Collier,1114
Presidio,Lieutenant Governor,REP,Dan Patrick,461
Presidio,Lieutenant Governor,LIB,,54
Rains,Lieutenant Governor,DEM,Mike Collier,659
Rains,Lieutenant Governor,REP,Dan Patrick,4227
Rains,Lieutenant Governor,LIB,,82
Randall,Lieutenant Governor,DEM,Mike Collier,8457
Randall,Lieutenant Governor,REP,Dan Patrick,38145
Randall,Lieutenant Governor,LIB,,1230
Reagan,Lieutenant Governor,DEM,Mike Collier,100
Reagan,Lieutenant Governor,REP,Dan Patrick,588
Reagan,Lieutenant Governor,LIB,,15
Real,Lieutenant Governor,DEM,Mike Collier,219
Real,Lieutenant Governor,REP,Dan Patrick,1312
Real,Lieutenant Governor,LIB,,27
Red River,Lieutenant Governor,DEM,Mike Collier,782
Red River,Lieutenant Governor,REP,Dan Patrick,3419
Red River,Lieutenant Governor,LIB,,55
Reeves,Lieutenant Governor,DEM,Mike Collier,791
Reeves,Lieutenant Governor,REP,Dan Patrick,1184
Reeves,Lieutenant Governor,LIB,,65
Refugio,Lieutenant Governor,DEM,Mike Collier,651
Refugio,Lieutenant Governor,REP,Dan Patrick,1579
Refugio,Lieutenant Governor,LIB,,49
Roberts,Lieutenant Governor,DEM,Mike Collier,27
Roberts,Lieutenant Governor,REP,Dan Patrick,402
Roberts,Lieutenant Governor,LIB,,9
Robertson,Lieutenant Governor,DEM,Mike Collier,1326
Robertson,Lieutenant Governor,REP,Dan Patrick,4537
Robertson,Lieutenant Governor,LIB,,111
Rockwall,Lieutenant Governor,DEM,Mike Collier,12421
Rockwall,Lieutenant Governor,REP,Dan Patrick,29388
Rockwall,Lieutenant Governor,LIB,,1048
Runnels,Lieutenant Governor,DEM,Mike Collier,317
Runnels,Lieutenant Governor,REP,Dan Patrick,2849
Runnels,Lieutenant Governor,LIB,,60
Rusk,Lieutenant Governor,DEM,Mike Collier,2748
Rusk,Lieutenant Governor,REP,Dan Patrick,12522
Rusk,Lieutenant Governor,LIB,,255
Sabine,Lieutenant Governor,DEM,Mike Collier,395
Sabine,Lieutenant Governor,REP,Dan Patrick,3747
Sabine,Lieutenant Governor,LIB,,33
San Augustine,Lieutenant Governor,DEM,Mike Collier,593
San Augustine,Lieutenant Governor,REP,Dan Patrick,2232
San Augustine,Lieutenant Governor,LIB,,32
San Jacinto,Lieutenant Governor,DEM,Mike Collier,1591
San Jacinto,Lieutenant Governor,REP,Dan Patrick,7736
San Jacinto,Lieutenant Governor,LIB,,198
San Patricio,Lieutenant Governor,DEM,Mike Collier,5562
San Patricio,Lieutenant Governor,REP,Dan Patrick,11740
San Patricio,Lieutenant Governor,LIB,,416
San Saba,Lieutenant Governor,DEM,Mike Collier,212
San Saba,Lieutenant Governor,REP,Dan Patrick,1909
San Saba,Lieutenant Governor,LIB,,26
Schleicher,Lieutenant Governor,DEM,Mike Collier,182
Schleicher,Lieutenant Governor,REP,Dan Patrick,761
Schleicher,Lieutenant Governor,LIB,,25
Scurry,Lieutenant Governor,DEM,Mike Collier,496
Scurry,Lieutenant Governor,REP,Dan Patrick,3519
Scurry,Lieutenant Governor,LIB,,69
Shackelford,Lieutenant Governor,DEM,Mike Collier,105
Shackelford,Lieutenant Governor,REP,Dan Patrick,1111
Shackelford,Lieutenant Governor,LIB,,19
Shelby,Lieutenant Governor,DEM,Mike Collier,1074
Shelby,Lieutenant Governor,REP,Dan Patrick,5749
Shelby,Lieutenant Governor,LIB,,73
Sherman,Lieutenant Governor,DEM,Mike Collier,41
Sherman,Lieutenant Governor,REP,Dan Patrick,651
Sherman,Lieutenant Governor,LIB,,13
Smith,Lieutenant Governor,DEM,Mike Collier,18629
Smith,Lieutenant Governor,REP,Dan Patrick,55433
Smith,Lieutenant Governor,LIB,,1699
Somervell,Lieutenant Governor,DEM,Mike Collier,600
Somervell,Lieutenant Governor,REP,Dan Patrick,3346
Somervell,Lieutenant Governor,LIB,,66
Starr,Lieutenant Governor,DEM,Mike Collier,4661
Starr,Lieutenant Governor,REP,Dan Patrick,3728
Starr,Lieutenant Governor,LIB,,336
Stephens,Lieutenant Governor,DEM,Mike Collier,247
Stephens,Lieutenant Governor,REP,Dan Patrick,2455
Stephens,Lieutenant Governor,LIB,,34
Sterling,Lieutenant Governor,DEM,Mike Collier,26
Sterling,Lieutenant Governor,REP,Dan Patrick,407
Sterling,Lieutenant Governor,LIB,,14
Stonewall,Lieutenant Governor,DEM,Mike Collier,80
Stonewall,Lieutenant Governor,REP,Dan Patrick,477
Stonewall,Lieutenant Governor,LIB,,4
Sutton,Lieutenant Governor,DEM,Mike Collier,176
Sutton,Lieutenant Governor,REP,Dan Patrick,938
Sutton,Lieutenant Governor,LIB,,18
Swisher,Lieutenant Governor,DEM,Mike Collier,279
Swisher,Lieutenant Governor,REP,Dan Patrick,1333
Swisher,Lieutenant Governor,LIB,,46
Tarrant,Lieutenant Governor,DEM,Mike Collier,278873
Tarrant,Lieutenant Governor,REP,Dan Patrick,292612
Tarrant,Lieutenant Governor,LIB,,17188
Taylor,Lieutenant Governor,DEM,Mike Collier,8799
Taylor,Lieutenant Governor,REP,Dan Patrick,29207
Taylor,Lieutenant Governor,LIB,,1163
Terrell,Lieutenant Governor,DEM,Mike Collier,99
Terrell,Lieutenant Governor,REP,Dan Patrick,297
Terrell,Lieutenant Governor,LIB,,10
Terry,Lieutenant Governor,DEM,Mike Collier,389
Terry,Lieutenant Governor,REP,Dan Patrick,2029
Terry,Lieutenant Governor,LIB,,66
Throckmorton,Lieutenant Governor,DEM,Mike Collier,64
Throckmorton,Lieutenant Governor,REP,Dan Patrick,596
Throckmorton,Lieutenant Governor,LIB,,3
Titus,Lieutenant Governor,DEM,Mike Collier,1573
Titus,Lieutenant Governor,REP,Dan Patrick,5583
Titus,Lieutenant Governor,LIB,,126
Tom Green,Lieutenant Governor,DEM,Mike Collier,7590
Tom Green,Lieutenant Governor,REP,Dan Patrick,23196
Tom Green,Lieutenant Governor,LIB,,847
Travis,Lieutenant Governor,DEM,Mike Collier,328748
Travis,Lieutenant Governor,REP,Dan Patrick,114201
Travis,Lieutenant Governor,LIB,,14308
Trinity,Lieutenant Governor,DEM,Mike Collier,842
Trinity,Lieutenant Governor,REP,Dan Patrick,4382
Trinity,Lieutenant Governor,LIB,,72
Tyler,Lieutenant Governor,DEM,Mike Collier,839
Tyler,Lieutenant Governor,REP,Dan Patrick,6215
Tyler,Lieutenant Governor,LIB,,115
Upshur,Lieutenant Governor,DEM,Mike Collier,1923
Upshur,Lieutenant Governor,REP,Dan Patrick,12058
Upshur,Lieutenant Governor,LIB,,254
Upton,Lieutenant Governor,DEM,Mike Collier,143
Upton,Lieutenant Governor,REP,Dan Patrick,838
Upton,Lieutenant Governor,LIB,,36
Uvalde,Lieutenant Governor,DEM,Mike Collier,2960
Uvalde,Lieutenant Governor,REP,Dan Patrick,4653
Uvalde,Lieutenant Governor,LIB,,222
Val Verde,Lieutenant Governor,DEM,Mike Collier,3675
Val Verde,Lieutenant Governor,REP,Dan Patrick,5331
Val Verde,Lieutenant Governor,LIB,,270
Van Zandt,Lieutenant Governor,DEM,Mike Collier,2641
Van Zandt,Lieutenant Governor,REP,Dan Patrick,17384
Van Zandt,Lieutenant Governor,LIB,,322
Victoria,Lieutenant Governor,DEM,Mike Collier,6364
Victoria,Lieutenant Governor,REP,Dan Patrick,18179
Victoria,Lieutenant Governor,LIB,,544
Walker,Lieutenant Governor,DEM,Mike Collier,4849
Walker,Lieutenant Governor,REP,Dan Patrick,11969
Walker,Lieutenant Governor,LIB,,452
Waller,Lieutenant Governor,DEM,Mike Collier,5094
Waller,Lieutenant Governor,REP,Dan Patrick,11148
Waller,Lieutenant Governor,LIB,,400
Ward,Lieutenant Governor,DEM,Mike Collier,429
Ward,Lieutenant Governor,REP,Dan Patrick,2017
Ward,Lieutenant Governor,LIB,,59
Washington,Lieutenant Governor,DEM,Mike Collier,2968
Washington,Lieutenant Governor,REP,Dan Patrick,10639
Washington,Lieutenant Governor,LIB,,313
Webb,Lieutenant Governor,DEM,Mike Collier,24824
Webb,Lieutenant Governor,REP,Dan Patrick,15051
Webb,Lieutenant Governor,LIB,,2263
Wharton,Lieutenant Governor,DEM,Mike Collier,2745
Wharton,Lieutenant Governor,REP,Dan Patrick,9202
Wharton,Lieutenant Governor,LIB,,154
Wheeler,Lieutenant Governor,DEM,Mike Collier,121
Wheeler,Lieutenant Governor,REP,Dan Patrick,1536
Wheeler,Lieutenant Governor,LIB,,19
Wichita,Lieutenant Governor,DEM,Mike Collier,7746
Wichita,Lieutenant Governor,REP,Dan Patrick,22814
Wichita,Lieutenant Governor,LIB,,901
Wilbarger,Lieutenant Governor,DEM,Mike Collier,537
Wilbarger,Lieutenant Governor,REP,Dan Patrick,2532
Wilbarger,Lieutenant Governor,LIB,,61
Willacy,Lieutenant Governor,DEM,Mike Collier,1966
Willacy,Lieutenant Governor,REP,Dan Patrick,1603
Willacy,Lieutenant Governor,LIB,,130
Williamson,Lieutenant Governor,DEM,Mike Collier,108251
Williamson,Lieutenant Governor,REP,Dan Patrick,107113
Williamson,Lieutenant Governor,LIB,,7005
Wilson,Lieutenant Governor,DEM,Mike Collier,4295
Wilson,Lieutenant Governor,REP,Dan Patrick,14757
Wilson,Lieutenant Governor,LIB,,358
Winkler,Lieutenant Governor,DEM,Mike Collier,188
Winkler,Lieutenant Governor,REP,Dan Patrick,1087
Winkler,Lieutenant Governor,LIB,,31
Wise,Lieutenant Governor,DEM,Mike Collier,3668
Wise,Lieutenant Governor,REP,Dan Patrick,21442
Wise,Lieutenant Governor,LIB,,620
Wood,Lieutenant Governor,DEM,Mike Collier,2432
Wood,Lieutenant Governor,REP,Dan Patrick,15400
Wood,Lieutenant Governor,LIB,,277
Yoakum,Lieutenant Governor,DEM,Mike Collier,196
Yoakum,Lieutenant Governor,REP,Dan Patrick,1375
Yoakum,Lieutenant Governor,LIB,,43
Young,Lieutenant Governor,DEM,Mike Collier,695
Young,Lieutenant Governor,REP,Dan Patrick,5343
Young,Lieutenant Governor,LIB,,112
Zapata,Lieutenant Governor,DEM,Mike Collier,1410
Zapata,Lieutenant Governor,REP,Dan Patrick,1286
Zapata,Lieutenant Governor,LIB,,105
Zavala,Lieutenant Governor,DEM,Mike Collier,1445
Zavala,Lieutenant Governor,REP,Dan Patrick,716
Zavala,Lieutenant Governor,LIB,,55
Anderson,Comptroller,DEM,Janet T. Dudding,2428
Anderson,Comptroller,REP,Glenn Hegar,11596
Anderson,Comptroller,LIB,,207
Andrews,Comptroller,DEM,Janet T. Dudding,419
Andrews,Comptroller,REP,Glenn Hegar,3233
Andrews,Comptroller,LIB,,99
Angelina,Comptroller,DEM,Janet T. Dudding,4938
Angelina,Comptroller,REP,Glenn Hegar,18935
Angelina,Comptroller,LIB,,421
Aransas,Comptroller,DEM,Janet T. Dudding,1829
Aransas,Comptroller,REP,Glenn Hegar,7575
Aransas,Comptroller,LIB,,178
Archer,Comptroller,DEM,Janet T. Dudding,293
Archer,Comptroller,REP,Glenn Hegar,3468
Archer,Comptroller,LIB,,35
Armstrong,Comptroller,DEM,Janet T. Dudding,49
Armstrong,Comptroller,REP,Glenn Hegar,818
Armstrong,Comptroller,LIB,,16
Atascosa,Comptroller,DEM,Janet T. Dudding,3369
Atascosa,Comptroller,REP,Glenn Hegar,8610
