county,office,district,candidate,party,votes
KAUFMAN,Attorney General,,Ken Paxton,REP,14655
KAUFMAN,Attorney General,,OTHER,OTH,451
KENDALL,Attorney General,,Sam Houston,DEM,1835
KENDALL,Attorney General,,Ken Paxton,REP,9621
KENDALL,Attorney General,,OTHER,OTH,314
KENEDY,Attorney General,,Sam Houston,DEM,62
KENEDY,Attorney General,,Ken Paxton,REP,51
KENEDY,Attorney General,,OTHER,OTH,2
KENT,Attorney General,,Sam Houston,DEM,67
KENT,Attorney General,,Ken Paxton,REP,218
KENT,Attorney General,,OTHER,OTH,9
KERR,Attorney General,,Sam Houston,DEM,2665
KERR,Attorney General,,Ken Paxton,REP,11673
KERR,Attorney General,,OTHER,OTH,451
KIMBLE,Attorney General,,Sam Houston,DEM,129
KIMBLE,Attorney General,,Ken Paxton,REP,1063
KIMBLE,Attorney General,,OTHER,OTH,15
KING,Attorney General,,Sam Houston,DEM,3
KING,Attorney General,,Ken Paxton,REP,84
KING,Attorney General,,OTHER,OTH,1
KINNEY,Attorney General,,Sam Houston,DEM,366
KINNEY,Attorney General,,Ken Paxton,REP,690
KINNEY,Attorney General,,OTHER,OTH,46
KLEBERG,Attorney General,,Sam Houston,DEM,2836
KLEBERG,Attorney General,,Ken Paxton,REP,2519
KLEBERG,Attorney General,,OTHER,OTH,202
KNOX,Attorney General,,Sam Houston,DEM,189
KNOX,Attorney General,,Ken Paxton,REP,655
KNOX,Attorney General,,OTHER,OTH,14
LAMAR,Attorney General,,Sam Houston,DEM,2750
LAMAR,Attorney General,,Ken Paxton,REP,7698
LAMAR,Attorney General,,OTHER,OTH,226
LAMB,Attorney General,,Sam Houston,DEM,319
LAMB,Attorney General,,Ken Paxton,REP,1734
LAMB,Attorney General,,OTHER,OTH,32
LAMPASAS,Attorney General,,Sam Houston,DEM,830
LAMPASAS,Attorney General,,Ken Paxton,REP,3673
LAMPASAS,Attorney General,,OTHER,OTH,128
LA SALLE,Attorney General,,Sam Houston,DEM,418
LA SALLE,Attorney General,,Ken Paxton,REP,390
LA SALLE,Attorney General,,OTHER,OTH,19
LAVACA,Attorney General,,Sam Houston,DEM,783
LAVACA,Attorney General,,Ken Paxton,REP,4071
LAVACA,Attorney General,,OTHER,OTH,76
