county,office,district,candidate,party,votes
KAUFMAN,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,15089
KAUFMAN,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,2032
KENDALL,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,9696
KENDALL,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,1313
KENEDY,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,61
KENEDY,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,8
KENT,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,235
KENT,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,23
KERR,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,11772
KERR,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,1706
KIMBLE,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,1047
KIMBLE,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,78
KING,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,81
KING,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,3
KINNEY,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,771
KINNEY,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,155
KLEBERG,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,3156
KLEBERG,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,1142
KNOX,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,559
KNOX,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,65
LAMAR,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,7931
LAMAR,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,1149
LAMB,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,1760
LAMB,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,137
LAMPASAS,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,3770
LAMPASAS,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,449
LA SALLE,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,416
LA SALLE,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,100
LAVACA,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,4174
LAVACA,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,347
LEE,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,3061
LEE,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,529
LEON,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,3688
LEON,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,225
LIBERTY,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,9714
LIBERTY,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,1207
LIMESTONE,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,3286
LIMESTONE,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,365
LIPSCOMB,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,732
LIPSCOMB,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,53
LIVE OAK,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,2022
LIVE OAK,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,194
LLANO,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,5701
LLANO,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,696
LOVING,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,32
LOVING,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,1
LUBBOCK,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,36274
LUBBOCK,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,6047
LYNN,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,938
LYNN,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,98
MADISON,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,1946
MADISON,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,169
MARION,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,1516
MARION,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,188
MARTIN,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,948
MARTIN,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,80
MASON,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,1058
MASON,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,134
MATAGORDA,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,4819
MATAGORDA,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,857
MAVERICK,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,1917
MAVERICK,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,1467
MCCULLOCH,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,1443
MCCULLOCH,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,150
MCLENNAN,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,31183
MCLENNAN,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,5948
MCMULLEN,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,198
MCMULLEN,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,18
MEDINA,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,7516
MEDINA,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,1142
MENARD,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,396
MENARD,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,28
MIDLAND,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,19905
MIDLAND,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,2024
MILAM,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,3550
MILAM,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,578
MILLS,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,1154
MILLS,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,84
MITCHELL,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,957
MITCHELL,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,106
MONTAGUE,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,5642
MONTAGUE,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,520
MONTGOMERY,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,86171
MONTGOMERY,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,10354
MOORE,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,2425
MOORE,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,169
